Teff,logg,logZ,CtoO,logKzz,F115W,F150W,F277W,F444W
500,4.0,-0.5,0.85,2,-28.10190621811803,-27.153196321610213,-26.476526693246804,-30.801768748347115
500,4.0,-0.5,0.85,10,-28.345635669931703,-27.637620467841998,-26.91934645971749,-30.371839374342308
500,4.0,-0.25,0.1,-1,-28.331379433849907,-27.286621158157367,-25.747660881688248,-30.73002995417233
500,4.0,-0.25,0.1,2,-28.177100062097985,-27.448529374944965,-26.189312062291634,-30.691596515770605
500,4.0,-0.25,0.1,10,-28.250971544985497,-27.664595444462904,-26.36746319963478,-30.47493102581393
500,4.0,-0.25,0.55,-1,-28.521636677636877,-27.107414235442654,-26.007181965951823,-30.760039820026638
500,4.0,-0.25,0.55,2,-28.35541642714173,-27.348707336918025,-26.44635730572421,-30.65098522662478
500,4.0,-0.25,0.55,10,-28.58050963272522,-27.699683610600694,-26.74898735981261,-30.215796492553704
500,4.0,-0.25,0.85,-1,-28.474158831447333,-27.02340600855265,-26.06977571743437,-30.769820326397863
500,4.0,-0.25,0.85,2,-28.317605038813845,-27.19438069839636,-26.44965833512589,-30.680193566580854
500,4.0,-0.25,0.85,10,-28.54175278089223,-27.692299423057577,-26.926125182108397,-30.150136307745278
500,4.0,+0.0,0.1,-1,-28.488446909391506,-27.379724753089086,-25.723148578191804,-30.654811456934468
500,4.0,+0.0,0.1,2,-28.342183190002444,-27.50345796329033,-26.23104101753693,-30.573795663583923
500,4.0,+0.0,0.1,10,-28.36688662998163,-27.734792547237248,-26.37383670499972,-30.330195565364335
500,4.0,+0.0,0.55,-1,-28.580858934325185,-27.145399782750275,-25.937377868048475,-30.675091190294847
500,4.0,+0.0,0.55,2,-28.4332600935172,-27.3543673577868,-26.457948301659464,-30.509722796311234
500,4.0,+0.0,0.55,10,-28.67342905275233,-27.720993341370527,-26.785134807570607,-30.04150389521336
500,4.0,+0.0,0.85,-1,-28.600940132193,-27.077740378528702,-25.992523492761023,-30.685629029640648
500,4.0,+0.0,0.85,2,-28.431471988786633,-27.340692603097175,-26.562036017878818,-30.486255527597493
500,4.0,+0.0,0.85,10,-28.680401137280676,-27.688771073424057,-26.835553197655226,-29.941433891571716
500,4.0,+0.25,0.1,-1,-28.570368091853105,-27.40856955114543,-25.717485945725784,-30.583356004714553
500,4.0,+0.25,0.1,2,-28.39817702554143,-27.484622510837433,-26.278555189790872,-30.451339391849046
500,4.0,+0.25,0.1,10,-28.34431168257386,-27.762667362924848,-26.38404805745295,-30.21957639006096
500,4.0,+0.25,0.55,-1,-28.629056923425896,-27.163982046460056,-25.92695075749475,-30.60838149602513
500,4.0,+0.25,0.55,2,-28.461830115314267,-27.357267219378674,-26.509495605277785,-30.359806339988182
500,4.0,+0.25,0.55,10,-28.681128403022633,-27.654656356118885,-26.764275299092745,-29.87575195576033
500,4.0,+0.25,0.85,-1,-28.677265228279776,-27.124403853302823,-25.991940573775118,-30.624339120362695
500,4.0,+0.25,0.85,2,-28.479330507671566,-27.346035122093465,-26.611273396955504,-30.306748717150384
500,4.0,+0.25,0.85,10,-28.76472128547771,-27.692998055498155,-26.867912000637126,-29.755344108282156
500,4.0,+0.5,0.1,-1,-28.58601989094123,-27.406391926269965,-25.747973904344576,-30.52817710894232
500,4.0,+0.5,0.1,2,-28.408940651797746,-27.440683195294724,-26.358219276559556,-30.330514522219186
